perc1;perc2;succ;cost
2; 97; 200; 1.99
56; 38; 0; 1.5
12; 86; 200; 1.9
68; 7; 0; 1.57
32; 18; 200; 2.18
41; 51; 68; 1.67
51; 40; 0; 1.58
8; 73; 200; 2.11
22; 54; 200; 2.02
27; 38; 200; 2.08
36; 60; 60; 1.68
17; 71; 200; 1.95
2; 98; 200; 1.98
62; 6; 10; 1.7
68; 8; 0; 1.56
12; 87; 200; 1.89
22; 55; 200; 2.01
32; 19; 200; 2.17
46; 46; 6; 1.62
27; 39; 200; 2.07
8; 74; 200; 2.1
3; 74; 200; 2.2
17; 72; 200; 1.94
56; 39; 0; 1.49
41; 52; 52; 1.66
22; 56; 200; 2
32; 20; 200; 2.16
12; 88; 200; 1.88
68; 9; 0; 1.55
62; 7; 10; 1.69
51; 41; 0; 1.57
8; 75; 200; 2.09
27; 40; 200; 2.06
3; 75; 200; 2.19
17; 73; 200; 1.93
36; 61; 41; 1.67
13; 54; 200; 2.2
22; 57; 200; 1.99
32; 21; 200; 2.15
68; 10; 0; 1.54
27; 41; 200; 2.05
8; 76; 200; 2.08
46; 47; 4; 1.61
3; 76; 200; 2.18
62; 8; 0; 1.68
17; 74; 200; 1.92
56; 40; 0; 1.48
41; 53; 21; 1.65
13; 55; 200; 2.19
32; 22; 200; 2.14
22; 58; 200; 1.98
68; 11; 0; 1.53
8; 77; 200; 2.07
27; 42; 200; 2.04
51; 42; 0; 1.56
3; 77; 200; 2.17
36; 62; 23; 1.66
17; 75; 200; 1.91
62; 9; 3; 1.67
13; 56; 200; 2.18
32; 23; 200; 2.13
22; 59; 200; 1.97
8; 78; 200; 2.06
27; 43; 200; 2.03
68; 12; 0; 1.52
3; 78; 200; 2.16
13; 57; 200; 2.17
46; 48; 0; 1.6
17; 76; 200; 1.9
56; 41; 0; 1.47
41; 54; 11; 1.64
32; 24; 200; 2.12
22; 60; 200; 1.96
8; 79; 200; 2.05
27; 44; 200; 2.02
3; 79; 200; 2.15
62; 10; 3; 1.66
51; 43; 0; 1.55
68; 13; 0; 1.51
36; 63; 9; 1.65
13; 58; 200; 2.16
17; 77; 200; 1.89
32; 25; 199; 2.11
3; 80; 200; 2.14
22; 61; 200; 1.95
8; 80; 200; 2.04
27; 45; 199; 2.01
