perc1;perc2;succ;cost
60; 17; 39; 1.63
54; 11; 39; 1.81
62; 19; 31; 1.57
46; 3; 40; 2.05
56; 14; 40; 1.74
66; 24; 12; 1.44
64; 22; 26; 1.5
68; 28; 4; 1.36
50; 8; 39; 1.92
58; 15; 37; 1.69
48; 6; 40; 1.98
52; 10; 40; 1.86
60; 18; 39; 1.62
62; 20; 31; 1.56
54; 12; 39; 1.8
46; 4; 40; 2.04
66; 25; 13; 1.43
56; 15; 40; 1.73
64; 23; 23; 1.49
68; 29; 3; 1.35
50; 9; 40; 1.91
58; 16; 40; 1.68
48; 7; 40; 1.97
52; 11; 39; 1.85
60; 19; 36; 1.61
62; 21; 31; 1.55
54; 13; 40; 1.79
46; 5; 40; 2.03
66; 26; 12; 1.42
56; 16; 39; 1.72
64; 24; 27; 1.48
68; 30; 5; 1.34
50; 10; 40; 1.9
58; 17; 36; 1.67
48; 8; 40; 1.96
52; 12; 40; 1.84
60; 20; 35; 1.6
